BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 10, 'similarity': 'jaccard', 'normalize': True} - results: {'AUC': 0.40897924257480384, 'precision': 0.27505796621398937, 'recall': 0.07534054558503331, 'map': 0.18391966618821579, 'NDCG': 0.12702178197884953, 'MRR': 0.47220934084133886}
BayesianSearch: Config is suboptimal. Config: {'topK': 50, 'shrink': 0, 'similarity': 'jaccard', 'normalize': True} - results: {'AUC': 0.3918654079717349, 'precision': 0.2574362371646346, 'recall': 0.07003271888974617, 'map': 0.17120675536417584, 'NDCG': 0.11653595993818351, 'MRR': 0.44843215192668645}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False} - results: {'AUC': 0.40592911560119194, 'precision': 0.27704537926466904, 'recall': 0.07594866634405283, 'map': 0.18463292664973727, 'NDCG': 0.12813503609315602, 'MRR': 0.47334106216186445}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False} - results: {'AUC': 0.40592911560119194, 'precision': 0.27704537926466904, 'recall': 0.07594866634405283, 'map': 0.18463292664973727, 'NDCG': 0.12813503609315602, 'MRR': 0.47334106216186445}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False} - results: {'AUC': 0.40592911560119194, 'precision': 0.27704537926466904, 'recall': 0.07594866634405283, 'map': 0.18463292664973727, 'NDCG': 0.12813503609315602, 'MRR': 0.47334106216186445}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False} - results: {'AUC': 0.40592911560119194, 'precision': 0.27704537926466904, 'recall': 0.07594866634405283, 'map': 0.18463292664973727, 'NDCG': 0.12813503609315602, 'MRR': 0.47334106216186445}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False} - results: {'AUC': 0.40592911560119194, 'precision': 0.27704537926466904, 'recall': 0.07594866634405283, 'map': 0.18463292664973727, 'NDCG': 0.12813503609315602, 'MRR': 0.47334106216186445}
BayesianSearch: Best config is: Config {'topK': 200, 'shrink': 0, 'similarity': 'jaccard', 'normalize': True}, map value is 0.1846
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 200, 'shrink': 0, 'similarity': 'jaccard', 'normalize': True} - results: {'AUC': 0.4219993368700262, 'precision': 0.282493368700277, 'recall': 0.07858463600181399, 'map': 0.19304252320954907, 'NDCG': 0.13334322175092406, 'MRR': 0.49046474358974473}
BayesianSearch: New best config found. Config: {'topK': 100, 'shrink': 10, 'similarity': 'jaccard', 'normalize': False} - results: {'AUC': 0.4014574362371646, 'precision': 0.26800264988407857, 'recall': 0.07217636976461667, 'map': 0.180417034706121, 'NDCG': 0.12301340416413444, 'MRR': 0.46600971624158244}
BayesianSearch: Config is suboptimal. Config: {'topK': 150, 'shrink': 50, 'similarity': 'jaccard', 'normalize': False} - results: {'AUC': 0.39919399359611313, 'precision': 0.26932759191786404, 'recall': 0.0718658389635353, 'map': 0.18028063008354533, 'NDCG': 0.12182261156268065, 'MRR': 0.4643590592911563}
