BayesianSearch: Testing config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_1': 1e-06, 'lambda_2': 0.001} - Exception No module named 'Base'
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 1e-09, 'lambda_2': 1e-09, 'epochs': 255} - results: {'AUC': 0.3415590151264215, 'precision': 0.20682345147400621, 'recall': 0.049836989553422154, 'map': 0.13423222369438095, 'NDCG': 0.0897474975772512, 'MRR': 0.38036877553273685}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adagrad', 'lambda_1': 0.001, 'lambda_2': 0.0, 'epochs': 135} - results: {'AUC': 0.33783261565639816, 'precision': 0.20245114276251183, 'recall': 0.047847942463035385, 'map': 0.13278638070001214, 'NDCG': 0.08676356580415734, 'MRR': 0.3760930771778733}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_1': 0.0, 'lambda_2': 1e-09, 'epochs': 75} - results: {'AUC': 0.3397234183504464, 'precision': 0.2078834051010355, 'recall': 0.05060903885199097, 'map': 0.13340542306135308, 'NDCG': 0.08945096931094813, 'MRR': 0.37699017334658225}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 1e-09, 'lambda_2': 1e-09, 'epochs': 240} - results: {'AUC': 0.33824666004195664, 'precision': 0.20725405763498628, 'recall': 0.04984113507621662, 'map': 0.13451023149681757, 'NDCG': 0.08930049962533033, 'MRR': 0.3792618968753452}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_1': 0.0, 'lambda_2': 0.0, 'epochs': 65} - results: {'AUC': 0.33152533951639596, 'precision': 0.208082146406103, 'recall': 0.05067544057008378, 'map': 0.13307708586360562, 'NDCG': 0.08927309393873342, 'MRR': 0.3734928784365682}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 1e-06, 'lambda_2': 0.0, 'epochs': 35} - results: {'AUC': 0.33435464281771055, 'precision': 0.20112620072872567, 'recall': 0.04800368121458736, 'map': 0.1309106676235704, 'NDCG': 0.0863426843730854, 'MRR': 0.37328861653969275}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 0.001, 'lambda_2': 1e-09, 'epochs': 200} - results: {'AUC': 0.34320139118913556, 'precision': 0.2059622391520448, 'recall': 0.04932879551633607, 'map': 0.1341752695889012, 'NDCG': 0.08928035652626577, 'MRR': 0.38089875234625153}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 1e-09, 'lambda_2': 0.001, 'epochs': 145} - results: {'AUC': 0.3271226675499617, 'precision': 0.20086121232196832, 'recall': 0.046901001609669805, 'map': 0.1310064038864974, 'NDCG': 0.08419036903095384, 'MRR': 0.36931931103014193}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 1e-06, 'lambda_2': 0.001, 'epochs': 280} - results: {'AUC': 0.3431461852710611, 'precision': 0.20768466379596726, 'recall': 0.04996094308360218, 'map': 0.13516934415369464, 'NDCG': 0.0902043501094555, 'MRR': 0.38196146626918337}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_1': 0.001, 'lambda_2': 1e-06, 'epochs': 30} - results: {'AUC': 0.3365490780611673, 'precision': 0.20592911560120053, 'recall': 0.05020576336980834, 'map': 0.1321938371793464, 'NDCG': 0.08860379505732707, 'MRR': 0.37490614993927335}
