BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 1000, 'similarity': 'cosine', 'normalize': False} - results: {'AUC': 0.31436467954100233, 'precision': 0.1929890848026551, 'recall': 0.04639482110069204, 'map': 0.12665064371675872, 'NDCG': 0.07464430913527109, 'MRR': 0.35120836831792457, 'F1': 0.07480614897661986, 'HR': 0.9649454240134341, 'ARHR': 0.468151413378144}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 200, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.33381612090679985, 'precision': 0.22572628043656498, 'recall': 0.05501462829142798, 'map': 0.15046149360947214, 'NDCG': 0.08390307815724067, 'MRR': 0.38577945703889743, 'F1': 0.08846767270284908, 'HR': 1.1286314021830395, 'ARHR': 0.5357654631962456}
BayesianSearch: New best config found. Config: {'topK': 100, 'shrink': 50, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.34071508536244016, 'precision': 0.22891687657426413, 'recall': 0.056001500936453376, 'map': 0.15254306605093307, 'NDCG': 0.08534050260543022, 'MRR': 0.39357192835152327, 'F1': 0.089988499793148, 'HR': 1.1445843828715365, 'ARHR': 0.5452239014833997}
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 100, 'shrink': 50, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.33718863699971974, 'precision': 0.22999999999995724, 'recall': 0.05701252873887443, 'map': 0.15400276378392944, 'NDCG': 0.08517176325099496, 'MRR': 0.3928456479149138, 'F1': 0.09137497702667055, 'HR': 1.15, 'ARHR': 0.5473740554156754}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 0, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.3338161209068003, 'precision': 0.22570109151968837, 'recall': 0.055008596401300264, 'map': 0.15041010122212217, 'NDCG': 0.08400876758080512, 'MRR': 0.3861376994122532, 'F1': 0.08845793918045367, 'HR': 1.1285054575986566, 'ARHR': 0.5359305905402145}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 500, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.3336307024909026, 'precision': 0.22522250209903408, 'recall': 0.05482943422149312, 'map': 0.15013352458251078, 'NDCG': 0.08381361399307956, 'MRR': 0.38550097956898416, 'F1': 0.08818951603252273, 'HR': 1.126112510495382, 'ARHR': 0.5351371396586015}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'shrink': 50, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.32400993562832325, 'precision': 0.2129135180520187, 'recall': 0.05196625965709679, 'map': 0.14220670071834432, 'NDCG': 0.08204647596452358, 'MRR': 0.37144486425971673, 'F1': 0.08354219608072712, 'HR': 1.0645675902602856, 'ARHR': 0.5102134061013616}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 100, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.3339595577945693, 'precision': 0.22573467674219067, 'recall': 0.055024772775478986, 'map': 0.15058224881051738, 'NDCG': 0.08392572988756294, 'MRR': 0.3862755387629389, 'F1': 0.08848143360178178, 'HR': 1.128673383711167, 'ARHR': 0.5362139658550755}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 10, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.33372865938986757, 'precision': 0.2256759026028118, 'recall': 0.055036354180377514, 'map': 0.15032326942811172, 'NDCG': 0.08400244883882405, 'MRR': 0.38599916036943194, 'F1': 0.08849188879713024, 'HR': 1.1283795130142737, 'ARHR': 0.5356808004478556}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 500, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.3392212426532324, 'precision': 0.2280436607892099, 'recall': 0.05570316043833979, 'map': 0.15180449435581145, 'NDCG': 0.08498840111130977, 'MRR': 0.3926490344248506, 'F1': 0.08953582330144078, 'HR': 1.1402183039462637, 'ARHR': 0.5432073887490052}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 300, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.33979499020431003, 'precision': 0.2285054575986139, 'recall': 0.05584972189938837, 'map': 0.15227466414777005, 'NDCG': 0.0851287401757515, 'MRR': 0.39261824797088996, 'F1': 0.08976074416442782, 'HR': 1.1425272879932828, 'ARHR': 0.5442261404982335}
BayesianSearch: New best config found. Config: {'topK': 100, 'shrink': 10, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.3402672823957456, 'precision': 0.22905961376989784, 'recall': 0.05602711515643935, 'map': 0.15255782955499117, 'NDCG': 0.08538657014688679, 'MRR': 0.3937188636999699, 'F1': 0.09003259749556153, 'HR': 1.145298068849706, 'ARHR': 0.5453456479149702}
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 100, 'shrink': 10, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.3372516092919111, 'precision': 0.2299999999999575, 'recall': 0.056864993756493634, 'map': 0.15399839070808297, 'NDCG': 0.0851119281003244, 'MRR': 0.39259585782255435, 'F1': 0.09118539277117352, 'HR': 1.15, 'ARHR': 0.5472865938987423}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 100, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.3413273159809677, 'precision': 0.22846347607048587, 'recall': 0.055953823798216, 'map': 0.15226163821251526, 'NDCG': 0.08528342858986346, 'MRR': 0.3934368877693791, 'F1': 0.0898918953964982, 'HR': 1.1423173803526447, 'ARHR': 0.5446508536244575}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 500, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.3392212426532324, 'precision': 0.2280436607892099, 'recall': 0.05570316043833979, 'map': 0.15180449435581145, 'NDCG': 0.08498840111130977, 'MRR': 0.3926490344248506, 'F1': 0.08953582330144078, 'HR': 1.1402183039462637, 'ARHR': 0.5432073887490052}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 500, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.3392212426532324, 'precision': 0.2280436607892099, 'recall': 0.05570316043833979, 'map': 0.15180449435581145, 'NDCG': 0.08498840111130977, 'MRR': 0.3926490344248506, 'F1': 0.08953582330144078, 'HR': 1.1402183039462637, 'ARHR': 0.5432073887490052}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 200, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.3406626084522809, 'precision': 0.2283207388748522, 'recall': 0.055912616707550856, 'map': 0.15218200158596396, 'NDCG': 0.08517479095272727, 'MRR': 0.3927980688497036, 'F1': 0.08982766947205378, 'HR': 1.1416036943744752, 'ARHR': 0.5440610131542643}
BayesianSearch: Best config is: Config {'topK': 100, 'shrink': 10, 'similarity': 'cosine', 'normalize': True}, map value is 0.1526
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 100, 'shrink': 10, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.3372516092919111, 'precision': 0.2299999999999575, 'recall': 0.056864993756493634, 'map': 0.15399839070808297, 'NDCG': 0.0851119281003244, 'MRR': 0.39259585782255435, 'F1': 0.09118539277117352, 'HR': 1.15, 'ARHR': 0.5472865938987423}
