GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.90000000000000013, 'beta': 1.3000000000000003, 'normalize_similarity': True}, map value is 0.0001
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.90000000000000013, 'beta': 1.3000000000000003, 'normalize_similarity': False}, map value is 0.0002
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.90000000000000013, 'beta': 1.5000000000000004, 'normalize_similarity': True}, map value is 0.0001
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.90000000000000013, 'beta': 1.5000000000000004, 'normalize_similarity': False}, map value is 0.0002
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.90000000000000013, 'beta': 1.7000000000000004, 'normalize_similarity': True}, map value is 0.0001
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.90000000000000013, 'beta': 1.7000000000000004, 'normalize_similarity': False}, map value is 0.0001
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.90000000000000013, 'beta': 1.9000000000000004, 'normalize_similarity': True}, map value is 0.0001
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.90000000000000013, 'beta': 1.9000000000000004, 'normalize_similarity': False}, map value is 0.0001
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.1000000000000003, 'beta': 0.10000000000000001, 'normalize_similarity': True}, map value is 0.1433
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.1000000000000003, 'beta': 0.10000000000000001, 'normalize_similarity': False}, map value is 0.0986
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.1000000000000003, 'beta': 0.30000000000000004, 'normalize_similarity': True}, map value is 0.1676
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.1000000000000003, 'beta': 0.30000000000000004, 'normalize_similarity': False}, map value is 0.1009
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.1000000000000003, 'beta': 0.50000000000000011, 'normalize_similarity': True}, map value is 0.1812
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.1000000000000003, 'beta': 0.50000000000000011, 'normalize_similarity': False}, map value is 0.1111
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.1000000000000003, 'beta': 0.70000000000000007, 'normalize_similarity': True}, map value is 0.1668
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.1000000000000003, 'beta': 0.70000000000000007, 'normalize_similarity': False}, map value is 0.0969
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.1000000000000003, 'beta': 0.90000000000000013, 'normalize_similarity': True}, map value is 0.0652
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.1000000000000003, 'beta': 0.90000000000000013, 'normalize_similarity': False}, map value is 0.0476
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.1000000000000003, 'beta': 1.1000000000000003, 'normalize_similarity': True}, map value is 0.0103
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.1000000000000003, 'beta': 1.1000000000000003, 'normalize_similarity': False}, map value is 0.0106
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.1000000000000003, 'beta': 1.3000000000000003, 'normalize_similarity': True}, map value is 0.0001
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.1000000000000003, 'beta': 1.3000000000000003, 'normalize_similarity': False}, map value is 0.0002
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.1000000000000003, 'beta': 1.5000000000000004, 'normalize_similarity': True}, map value is 0.0001
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.1000000000000003, 'beta': 1.5000000000000004, 'normalize_similarity': False}, map value is 0.0002
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.1000000000000003, 'beta': 1.7000000000000004, 'normalize_similarity': True}, map value is 0.0001
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.1000000000000003, 'beta': 1.7000000000000004, 'normalize_similarity': False}, map value is 0.0001
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.1000000000000003, 'beta': 1.9000000000000004, 'normalize_similarity': True}, map value is 0.0001
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.1000000000000003, 'beta': 1.9000000000000004, 'normalize_similarity': False}, map value is 0.0001
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.3000000000000003, 'beta': 0.10000000000000001, 'normalize_similarity': True}, map value is 0.1390
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.3000000000000003, 'beta': 0.10000000000000001, 'normalize_similarity': False}, map value is 0.0539
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.3000000000000003, 'beta': 0.30000000000000004, 'normalize_similarity': True}, map value is 0.1645
