GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 0.59999999999999998, 'normalize_similarity': False}, map value is 0.1148
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 0.70000000000000007, 'normalize_similarity': True}, map value is 0.1164
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 0.70000000000000007, 'normalize_similarity': False}, map value is 0.1120
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 0.80000000000000004, 'normalize_similarity': True}, map value is 0.1056
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 0.80000000000000004, 'normalize_similarity': False}, map value is 0.1032
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 0.90000000000000002, 'normalize_similarity': True}, map value is 0.0780
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 0.90000000000000002, 'normalize_similarity': False}, map value is 0.0763
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 1.0, 'normalize_similarity': True}, map value is 0.0414
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 1.0, 'normalize_similarity': False}, map value is 0.0423
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 1.1000000000000001, 'normalize_similarity': True}, map value is 0.0152
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 1.1000000000000001, 'normalize_similarity': False}, map value is 0.0171
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 1.2000000000000002, 'normalize_similarity': True}, map value is 0.0026
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 1.2000000000000002, 'normalize_similarity': False}, map value is 0.0038
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 1.3000000000000003, 'normalize_similarity': True}, map value is 0.0017
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 1.3000000000000003, 'normalize_similarity': False}, map value is 0.0025
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 1.4000000000000001, 'normalize_similarity': True}, map value is 0.0012
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 1.4000000000000001, 'normalize_similarity': False}, map value is 0.0018
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 1.5000000000000002, 'normalize_similarity': True}, map value is 0.0010
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 1.5000000000000002, 'normalize_similarity': False}, map value is 0.0014
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 1.6000000000000001, 'normalize_similarity': True}, map value is 0.0008
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 1.6000000000000001, 'normalize_similarity': False}, map value is 0.0012
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 1.7000000000000002, 'normalize_similarity': True}, map value is 0.0007
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 1.7000000000000002, 'normalize_similarity': False}, map value is 0.0010
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 1.8000000000000003, 'normalize_similarity': True}, map value is 0.0006
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 1.8000000000000003, 'normalize_similarity': False}, map value is 0.0008
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 1.9000000000000001, 'normalize_similarity': True}, map value is 0.0005
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 1.9000000000000001, 'normalize_similarity': False}, map value is 0.0007
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 2.0, 'normalize_similarity': True}, map value is 0.0005
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 2.0, 'normalize_similarity': False}, map value is 0.0006
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.5, 'beta': 0.10000000000000001, 'normalize_similarity': True}, map value is 0.1065
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.5, 'beta': 0.10000000000000001, 'normalize_similarity': False}, map value is 0.1034
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.5, 'beta': 0.20000000000000001, 'normalize_similarity': True}, map value is 0.1125
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.5, 'beta': 0.20000000000000001, 'normalize_similarity': False}, map value is 0.1070
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.5, 'beta': 0.30000000000000004, 'normalize_similarity': True}, map value is 0.1170
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.5, 'beta': 0.30000000000000004, 'normalize_similarity': False}, map value is 0.1106
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.5, 'beta': 0.40000000000000002, 'normalize_similarity': True}, map value is 0.1189
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.5, 'beta': 0.40000000000000002, 'normalize_similarity': False}, map value is 0.1140
GridSearch: New best config found. Config {'topK': 50, 'alpha': 0.5, 'beta': 0.5, 'normalize_similarity': True}, map value is 0.1207
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.5, 'beta': 0.5, 'normalize_similarity': False}, map value is 0.1164
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.5, 'beta': 0.59999999999999998, 'normalize_similarity': True}, map value is 0.1206
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.5, 'beta': 0.59999999999999998, 'normalize_similarity': False}, map value is 0.1175
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.5, 'beta': 0.70000000000000007, 'normalize_similarity': True}, map value is 0.1188
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.5, 'beta': 0.70000000000000007, 'normalize_similarity': False}, map value is 0.1158
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.5, 'beta': 0.80000000000000004, 'normalize_similarity': True}, map value is 0.1109
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.5, 'beta': 0.80000000000000004, 'normalize_similarity': False}, map value is 0.1079
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.5, 'beta': 0.90000000000000002, 'normalize_similarity': True}, map value is 0.0867
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.5, 'beta': 0.90000000000000002, 'normalize_similarity': False}, map value is 0.0822
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.5, 'beta': 1.0, 'normalize_similarity': True}, map value is 0.0484
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.5, 'beta': 1.0, 'normalize_similarity': False}, map value is 0.0456
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.5, 'beta': 1.1000000000000001, 'normalize_similarity': True}, map value is 0.0173
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.5, 'beta': 1.1000000000000001, 'normalize_similarity': False}, map value is 0.0186
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.5, 'beta': 1.2000000000000002, 'normalize_similarity': True}, map value is 0.0027
