GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 20, 'reg': 0.1, 'learning_rate': 0.0001}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 20, 'reg': 0.01, 'learning_rate': 0.1}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 20, 'reg': 0.01, 'learning_rate': 0.01}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 20, 'reg': 0.01, 'learning_rate': 0.001}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 20, 'reg': 0.01, 'learning_rate': 0.0001}, map value is 0.0592

GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.01, 'learning_rate': 0.01}, map value is 0.0009
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.01, 'learning_rate': 0.001}, map value is 0.0387
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.01, 'learning_rate': 0.0001}, map value is 0.0002
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.01, 'learning_rate': 1e-05}, map value is 0.0003
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.001, 'learning_rate': 0.01}, map value is 0.0014
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.001, 'learning_rate': 0.001}, map value is 0.0364
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.001, 'learning_rate': 0.0001}, map value is 0.0002
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.001, 'learning_rate': 1e-05}, map value is 0.0003
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.0001, 'learning_rate': 0.01}, map value is 0.0014
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.0001, 'learning_rate': 0.001}, map value is 0.0364
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.0001, 'learning_rate': 0.0001}, map value is 0.0002
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.0001, 'learning_rate': 1e-05}, map value is 0.0003
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 1e-05, 'learning_rate': 0.01}, map value is 0.0014
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 1e-05, 'learning_rate': 0.001}, map value is 0.0364
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 1e-05, 'learning_rate': 0.0001}, map value is 0.0002
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 1e-05, 'learning_rate': 1e-05}, map value is 0.0003
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.01, 'learning_rate': 0.01}, map value is 0.0025
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.01, 'learning_rate': 0.001}, map value is 0.0153
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.01, 'learning_rate': 0.0001}, map value is 0.0014
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.01, 'learning_rate': 1e-05}, map value is 0.0003
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.001, 'learning_rate': 0.01}, map value is 0.0013
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.001, 'learning_rate': 0.001}, map value is 0.0155
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.001, 'learning_rate': 0.0001}, map value is 0.0021
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.001, 'learning_rate': 1e-05}, map value is 0.0003
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 0.01}, map value is 0.0013
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 0.001}, map value is 0.0155
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 0.0001}, map value is 0.0021
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 1e-05}, map value is 0.0003
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 1e-05, 'learning_rate': 0.01}, map value is 0.0013
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 1e-05, 'learning_rate': 0.001}, map value is 0.0155
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 1e-05, 'learning_rate': 0.0001}, map value is 0.0021
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 1e-05, 'learning_rate': 1e-05}, map value is 0.0003
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.01, 'learning_rate': 0.01}, map value is 0.0026
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.01, 'learning_rate': 0.001}, map value is 0.0024
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.01, 'learning_rate': 0.0001}, map value is 0.0338
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.01, 'learning_rate': 1e-05}, map value is 0.0003
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.001, 'learning_rate': 0.01}, map value is 0.0026
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.001, 'learning_rate': 0.001}, map value is 0.0051
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.001, 'learning_rate': 0.0001}, map value is 0.0357
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.001, 'learning_rate': 1e-05}, map value is 0.0003
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.0001, 'learning_rate': 0.01}, map value is 0.0026
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.0001, 'learning_rate': 0.001}, map value is 0.0054
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.0001, 'learning_rate': 0.0001}, map value is 0.0364
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.0001, 'learning_rate': 1e-05}, map value is 0.0003
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 1e-05, 'learning_rate': 0.01}, map value is 0.0026
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 1e-05, 'learning_rate': 0.001}, map value is 0.0054
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 1e-05, 'learning_rate': 0.0001}, map value is 0.0364
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 1e-05, 'learning_rate': 1e-05}, map value is 0.0003
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 5, 'reg': 0.01, 'learning_rate': 0.01}, map value is 0.0062
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 5, 'reg': 0.01, 'learning_rate': 0.001}, map value is 0.0319
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 5, 'reg': 0.01, 'learning_rate': 0.0001}, map value is 0.0006
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 5, 'reg': 0.01, 'learning_rate': 1e-05}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 5, 'reg': 0.001, 'learning_rate': 0.01}, map value is 0.0143
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 5, 'reg': 0.001, 'learning_rate': 0.001}, map value is 0.0340
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 5, 'reg': 0.001, 'learning_rate': 0.0001}, map value is 0.0008
