GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 1.3000000000000003, 'normalize_similarity': False}, map value is 0.0265
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 1.4000000000000001, 'normalize_similarity': True}, map value is 0.1141
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 1.4000000000000001, 'normalize_similarity': False}, map value is 0.0191
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 1.5000000000000002, 'normalize_similarity': True}, map value is 0.1141
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 1.5000000000000002, 'normalize_similarity': False}, map value is 0.0148
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 1.6000000000000001, 'normalize_similarity': True}, map value is 0.1127
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 1.6000000000000001, 'normalize_similarity': False}, map value is 0.0118
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 1.7000000000000002, 'normalize_similarity': True}, map value is 0.1117
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 1.7000000000000002, 'normalize_similarity': False}, map value is 0.0101
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 1.8000000000000003, 'normalize_similarity': True}, map value is 0.1096
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 1.8000000000000003, 'normalize_similarity': False}, map value is 0.0089
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 1.9000000000000001, 'normalize_similarity': True}, map value is 0.1069
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 1.9000000000000001, 'normalize_similarity': False}, map value is 0.0080
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 2.0, 'normalize_similarity': True}, map value is 0.1032
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 2.0, 'normalize_similarity': False}, map value is 0.0073
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 0.10000000000000001, 'normalize_similarity': True}, map value is 0.0962
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 0.10000000000000001, 'normalize_similarity': False}, map value is 0.0841
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 0.20000000000000001, 'normalize_similarity': True}, map value is 0.0992
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 0.20000000000000001, 'normalize_similarity': False}, map value is 0.0850
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 0.30000000000000004, 'normalize_similarity': True}, map value is 0.1014
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 0.30000000000000004, 'normalize_similarity': False}, map value is 0.0861
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 0.40000000000000002, 'normalize_similarity': True}, map value is 0.1035
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 0.40000000000000002, 'normalize_similarity': False}, map value is 0.0873
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 0.5, 'normalize_similarity': True}, map value is 0.1051
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 0.5, 'normalize_similarity': False}, map value is 0.0887
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 0.59999999999999998, 'normalize_similarity': True}, map value is 0.1067
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 0.59999999999999998, 'normalize_similarity': False}, map value is 0.0904
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 0.70000000000000007, 'normalize_similarity': True}, map value is 0.1079
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 0.70000000000000007, 'normalize_similarity': False}, map value is 0.0931
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 0.80000000000000004, 'normalize_similarity': True}, map value is 0.1091
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 0.80000000000000004, 'normalize_similarity': False}, map value is 0.0973
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 0.90000000000000002, 'normalize_similarity': True}, map value is 0.1101
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 0.90000000000000002, 'normalize_similarity': False}, map value is 0.1056
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 1.0, 'normalize_similarity': True}, map value is 0.1118
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 1.0, 'normalize_similarity': False}, map value is 0.1089
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 1.1000000000000001, 'normalize_similarity': True}, map value is 0.1128
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 1.1000000000000001, 'normalize_similarity': False}, map value is 0.0847
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 1.2000000000000002, 'normalize_similarity': True}, map value is 0.1134
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 1.2000000000000002, 'normalize_similarity': False}, map value is 0.0605
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 1.3000000000000003, 'normalize_similarity': True}, map value is 0.1135
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 1.3000000000000003, 'normalize_similarity': False}, map value is 0.0302
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 1.4000000000000001, 'normalize_similarity': True}, map value is 0.1138
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 1.4000000000000001, 'normalize_similarity': False}, map value is 0.0202
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 1.5000000000000002, 'normalize_similarity': True}, map value is 0.1130
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 1.5000000000000002, 'normalize_similarity': False}, map value is 0.0156
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 1.6000000000000001, 'normalize_similarity': True}, map value is 0.1133
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 1.6000000000000001, 'normalize_similarity': False}, map value is 0.0124
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 1.7000000000000002, 'normalize_similarity': True}, map value is 0.1129
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 1.7000000000000002, 'normalize_similarity': False}, map value is 0.0107
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 1.8000000000000003, 'normalize_similarity': True}, map value is 0.1125
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 1.8000000000000003, 'normalize_similarity': False}, map value is 0.0095
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 1.9000000000000001, 'normalize_similarity': True}, map value is 0.1113
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 1.9000000000000001, 'normalize_similarity': False}, map value is 0.0086
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 2.0, 'normalize_similarity': True}, map value is 0.1097
GridSearch: Config is suboptimal. Config {'topK': 200, 'alpha': 2.0, 'normalize_similarity': False}, map value is 0.0078
best_paramethers: {'topK': 150, 'alpha': 1.3000000000000003, 'normalize_similarity': True}
