GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0653
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0700
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0700
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0008
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0590
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0700
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0700
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0008
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0590
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0700
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0700
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0024
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0310
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0700
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0700
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0024
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0310
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0700
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0700
GridSearch: Config is suboptimal. Config {'num_factors': 50, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0004
GridSearch: Config is suboptimal. Config {'num_factors': 50, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0004
GridSearch: Config is suboptimal. Config {'num_factors': 50, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0004
GridSearch: Config is suboptimal. Config {'num_factors': 50, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0004
GridSearch: Config is suboptimal. Config {'num_factors': 50, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0004
GridSearch: Config is suboptimal. Config {'num_factors': 50, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0004
GridSearch: Config is suboptimal. Config {'num_factors': 50, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0004
GridSearch: Config is suboptimal. Config {'num_factors': 50, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0004
